model,dataset,log10Cerr,test_acc,l1_regret,l2_regret
PAC,avazu-app_binary_sparse,0.0,0.8649912465441776,0.07777255305904582,0.14467844481161
PAC,avazu-site_binary_sparse,-2.0,0.8066517683118729,0.000983381791830986,0.0018412088952518453
PAC,criteo_binary_sparse,-2.0,0.7948039509082852,0.0014830266959134394,0.002320265713712644
PAC,dexter_binary_sparse,-2.0,0.9366666666666668,0.04542390731964193,0.07083053417367997
PAC,dorothea_binary_sparse,-1.0,0.9304347826086957,0.0040637107188979905,0.0055984695024152474
PAC,kdd2010-a_binary_sparse,-2.0,0.8701107154510866,0.006191305046008621,0.007911155550840107
PAC,mnist8-4+9_binary_sparse,3.0,0.9227605876834417,0.02289417151609282,0.03500958614367688
PAC,news20_binary_sparse,3.0,0.9479873058292968,0.056692768973298356,0.10199048761550185
PAC,newsgroups_binary_sparse,-1.0,0.8625409537677466,0.03408164442217794,0.053930055127433096
PAC,pcmac_binary_sparse,0.0,0.879245283018868,0.0196774096476182,0.02741575784294929
PAC,rcv1_binary_sparse,0.0,0.9482830290549613,0.012017767691539354,0.02516023886894352
PAC,real-sim_binary_sparse,3.0,0.9580074788790915,0.022837000933831442,0.04371239778124654
PAC,sst2_binary_sparse,3.0,0.8312642312642312,0.025166756354875176,0.036599890518263276
PAC,url_binary_sparse,3.0,0.9794830274929435,0.006135498551921017,0.014141874975868
PAC,w8a_binary_sparse,3.0,0.9749859345110836,0.007106999098694592,0.017730059816692196
PAC,webspam_binary_sparse,-1.0,0.9162960352758545,0.01645268630633501,0.028687264486607123
